Log for:/media/bdupuis/1091_PhD_BD/Research projects/tdr2nrj/script/
# timestamp | duration | file | instruction | dir | modtime | etag | size | fileId | status | errorString | http result code | other size | other modtime | X-Request-ID
#=#=#=# Syncrun started 2023-08-18T07:42:49Z
#=#=#=#=# Propagation starts 2023-08-18T07:42:49Z (last step: 458 msec , total: 458 msec) 
2023-08-18T07:43:18Z | 1.3-model_expenditure_files/figure-html/unnamed-chunk-5-29.png | SyncInstruction(CSYNC_INSTRUCTION_NEW) | OCC::SyncFileItem::Up | | 1692178841 | b3f7ddcde308ff392d92c05101a30e7e | 49200 | 3247420734ocfcb4e58640 | OCC::SyncFileItem::Success |  | 201 | 0 | 0 | 30178da7-5ffb-4200-8101-1b34c7605b74 | 
2023-08-18T07:43:19Z | 1.3-model_expenditure_files/figure-html/unnamed-chunk-5-30.png | SyncInstruction(CSYNC_INSTRUCTION_NEW) | OCC::SyncFileItem::Up | | 1692178841 | dc83b62fb51d4a29bcd41e84e4bcc046 | 45046 | 3247420750ocfcb4e58640 | OCC::SyncFileItem::Success |  | 201 | 0 | 0 | 94509af7-d24e-4c56-a752-a43a91da5db5 | 
2023-08-18T07:43:19Z | 1.3-model_expenditure_files/figure-html/unnamed-chunk-5-3.png | SyncInstruction(CSYNC_INSTRUCTION_NEW) | OCC::SyncFileItem::Up | | 1692178840 | 8663c6c534959708e897cf9c7ca9b967 | 33306 | 3247420766ocfcb4e58640 | OCC::SyncFileItem::Success |  | 201 | 0 | 0 | a35a8926-917d-4e97-a3e6-eecfe1357cb1 | 
2023-08-18T07:43:21Z | 1.3-model_expenditure_files/figure-html/unnamed-chunk-5-6.png | SyncInstruction(CSYNC_INSTRUCTION_NEW) | OCC::SyncFileItem::Up | | 1692178840 | 099144fc1650a46ab54d1ea22e47af6e | 65468 | 3247420806ocfcb4e58640 | OCC::SyncFileItem::Success |  | 201 | 0 | 0 | ec5cfe0e-ecee-4d85-bfc9-a418e39fa8ae | 
2023-08-18T07:43:16Z | 1.3-model_expenditure_files/figure-html/unnamed-chunk-5-26.png | SyncInstruction(CSYNC_INSTRUCTION_NEW) | OCC::SyncFileItem::Up | | 1692178841 | 328739478330708d88078f107ca9682e | 62298 | 3247420754ocfcb4e58640 | OCC::SyncFileItem::Success |  | 201 | 0 | 0 | f470dc41-6aae-4772-b125-cc06c179f5ea | 
2023-08-18T07:43:20Z | 1.3-model_expenditure_files/figure-html/unnamed-chunk-5-5.png | SyncInstruction(CSYNC_INSTRUCTION_NEW) | OCC::SyncFileItem::Up | | 1692178840 | 2df3c2632c4d6773621a18a5e66da82a | 77884 | 3247420818ocfcb4e58640 | OCC::SyncFileItem::Success |  | 201 | 0 | 0 | 1fd2b66c-ab5d-45da-b114-7102ca6a950d | 
2023-08-18T07:43:20Z | 1.3-model_expenditure_files/figure-html/unnamed-chunk-5-4.png | SyncInstruction(CSYNC_INSTRUCTION_NEW) | OCC::SyncFileItem::Up | | 1692178840 | 64816e496522570e294c143468fcc83c | 56944 | 3247420794ocfcb4e58640 | OCC::SyncFileItem::Success |  | 201 | 0 | 0 | 4aeceb2d-6503-4b8d-8f2c-2079c35261b2 | 
2023-08-18T07:43:23Z | 1.3-model_expenditure_files/figure-html/unnamed-chunk-5-9.png | SyncInstruction(CSYNC_INSTRUCTION_NEW) | OCC::SyncFileItem::Up | | 1692178840 | 35acbe581b53299de5a15d1f6ee2ede6 | 80482 | 3247420854ocfcb4e58640 | OCC::SyncFileItem::Success |  | 201 | 0 | 0 | 25373498-6cd3-4ec5-9df2-01460bbe716e | 
2023-08-18T07:43:23Z | 1.3-model_expenditure_files/figure-html/unnamed-chunk-5-8.png | SyncInstruction(CSYNC_INSTRUCTION_NEW) | OCC::SyncFileItem::Up | | 1692178840 | d65586237f3d91246b110780e6163a1d | 64045 | 3247420866ocfcb4e58640 | OCC::SyncFileItem::Success |  | 201 | 0 | 0 | a75e1345-7264-4a20-b3e3-4a6b566c58bd | 
2023-08-18T07:43:22Z | 1.3-model_expenditure_files/figure-html/unnamed-chunk-5-7.png | SyncInstruction(CSYNC_INSTRUCTION_NEW) | OCC::SyncFileItem::Up | | 1692178840 | d6e47479366ae9fad6f973228a588374 | 34664 | 3247420838ocfcb4e58640 | OCC::SyncFileItem::Success |  | 201 | 0 | 0 | fac4e933-05bb-47fd-8403-d99405ec03df | 
2023-08-18T07:43:24Z | 1.3-model_expenditure_files/figure-html/unnamed-chunk-6-1.png | SyncInstruction(CSYNC_INSTRUCTION_NEW) | OCC::SyncFileItem::Up | | 1692178843 | 423b8507ae02420364366403712fe3f0 | 137558 | 3247420886ocfcb4e58640 | OCC::SyncFileItem::Success |  | 201 | 0 | 0 | 61a48171-ddf2-4d9f-a47a-36d0507df1a0 | 
2023-08-18T07:42:52Z | 1.3-model_expenditure_files/figure-html | SyncInstruction(CSYNC_INSTRUCTION_NEW) | OCC::SyncFileItem::Up | | 1692178636 |  | 262144 | 3247420154ocfcb4e58640 | OCC::SyncFileItem::Success |  | 201 | 0 | 0 | 72ca0ac8-e9ab-4ed4-9ba0-9a3a475bb6e7 | 
2023-08-18T07:43:27Z | 2.6.ML_classification.R | SyncInstruction(CSYNC_INSTRUCTION_NEW) | OCC::SyncFileItem::Up | | 1690370974 | 83289b7c1ccc9e5cbac227f7771237aa | 10610 | 3247420986ocfcb4e58640 | OCC::SyncFileItem::Success |  | 201 | 0 | 0 | 3dc3dbde-6d85-4237-b78f-856f1d943ec4 | 
2023-08-18T07:43:29Z | 1.3-model_expenditure_files/libs/clipboard/clipboard.min.js | SyncInstruction(CSYNC_INSTRUCTION_NEW) | OCC::SyncFileItem::Up | | 1683921408 | 6315ffb56f5469e1b99b26bda8209ae3 | 9160 | 3247421034ocfcb4e58640 | OCC::SyncFileItem::Success |  | 201 | 0 | 0 | 2c3b6fef-194c-412d-9f5e-50043fc17e76 | 
2023-08-18T07:43:25Z | 1.3-model_expenditure_files/libs/clipboard | SyncInstruction(CSYNC_INSTRUCTION_NEW) | OCC::SyncFileItem::Up | | 1692178638 |  | 262144 | 3247420922ocfcb4e58640 | OCC::SyncFileItem::Success |  | 201 | 0 | 0 | c1fd9d1f-5393-44ae-942f-0ab85440d4fe | 
2023-08-18T07:43:29Z | 1.3-model_expenditure_files/libs/quarto-html/anchor.min.js | SyncInstruction(CSYNC_INSTRUCTION_NEW) | OCC::SyncFileItem::Up | | 1683921408 | 6c24a2e388b9a79d41c231f3950a2d92 | 6008 | 3247421038ocfcb4e58640 | OCC::SyncFileItem::Success |  | 201 | 0 | 0 | 33dfcc58-31cb-4e8e-ac33-9ac9fcc10003 | 
2023-08-18T07:43:30Z | 1.3-model_expenditure_files/libs/bootstrap/bootstrap-dark.min.css | SyncInstruction(CSYNC_INSTRUCTION_NEW) | OCC::SyncFileItem::Up | | 1692178843 | b5416435b7ef695708b2e3b4a6b5f087 | 257708 | 3247421062ocfcb4e58640 | OCC::SyncFileItem::Success |  | 201 | 0 | 0 | baf1299c-8a55-483a-a994-fcba92f3bf8e | 
2023-08-18T07:43:31Z | 1.3-model_expenditure_files/libs/bootstrap/bootstrap-icons.css | SyncInstruction(CSYNC_INSTRUCTION_NEW) | OCC::SyncFileItem::Up | | 1683921408 | 03686fe781aa95b94a7aa70e3b752aed | 95517 | 3247421070ocfcb4e58640 | OCC::SyncFileItem::Success |  | 201 | 0 | 0 | cf85fff1-d70c-41da-a415-d794ee929e0e | 
2023-08-18T07:43:32Z | 1.3-model_expenditure_files/libs/bootstrap/bootstrap.min.css | SyncInstruction(CSYNC_INSTRUCTION_NEW) | OCC::SyncFileItem::Up | | 1692178843 | 0376e5d387b47c0f60411498de5a9b98 | 258149 | 3247421098ocfcb4e58640 | OCC::SyncFileItem::Success |  | 201 | 0 | 0 | 0e99874d-4dcb-4fe6-b861-8458955e75dd | 
2023-08-18T07:43:31Z | 1.3-model_expenditure_files/libs/bootstrap/bootstrap-icons.woff | SyncInstruction(CSYNC_INSTRUCTION_NEW) | OCC::SyncFileItem::Up | | 1683921408 | 89f383702956e8a4e64d2ab8d35ee4c9 | 164168 | 3247421138ocfcb4e58640 | OCC::SyncFileItem::Success |  | 201 | 0 | 0 | 6a9a46f1-c795-4092-a58f-28d5b0d37585 | 
2023-08-18T07:43:34Z | 1.3-model_expenditure_files/libs/bootstrap/bootstrap.min.js | SyncInstruction(CSYNC_INSTRUCTION_NEW) | OCC::SyncFileItem::Up | | 1683921408 | 5713f9f8e41405794082259abac85f0f | 78129 | 3247421154ocfcb4e58640 | OCC::SyncFileItem::Success |  | 201 | 0 | 0 | 4920e4c6-c4f4-4750-a8ee-e1972b5fdf22 | 
2023-08-18T07:43:24Z | 1.3-model_expenditure_files/libs/bootstrap | SyncInstruction(CSYNC_INSTRUCTION_NEW) | OCC::SyncFileItem::Up | | 1692178844 |  | 262144 | 3247420962ocfcb4e58640 | OCC::SyncFileItem::Success |  | 201 | 0 | 0 | 6200a4e2-3225-45a3-8184-29cf41350763 | 
2023-08-18T07:43:34Z | 1.3-model_expenditure_files/libs/quarto-html/popper.min.js | SyncInstruction(CSYNC_INSTRUCTION_NEW) | OCC::SyncFileItem::Up | | 1683921408 | a26e03eca823689a58d27e736dd9d1e5 | 19728 | 3247421174ocfcb4e58640 | OCC::SyncFileItem::Success |  | 201 | 0 | 0 | 5146d369-9a37-4bd9-a878-78173a7eaf88 | 
2023-08-18T07:43:34Z | 1.3-model_expenditure_files/libs/pagedtable-1.1/js/pagedtable.js | SyncInstruction(CSYNC_INSTRUCTION_NEW) | OCC::SyncFileItem::Up | | 1692178843 | e109e35e3e9b103802b6e0c793644a49 | 33690 | 3247421166ocfcb4e58640 | OCC::SyncFileItem::Success |  | 201 | 0 | 0 | 98aed901-3781-49c9-94da-b591249aee08 | 
